Zimbabwe                                           ,20.4
Mauritania                                         ,20.1
Guinea-Bissau                                      ,19.9
"Congo, Republic of the                             ",19.8
Iraq                                               ,19.7
Togo                                               ,19.6
Equatorial Guinea                                  ,19.5
Central African Republic                           ,19.5
Madagascar                                         ,19.4
Comoros                                            ,19.4
Sudan                                              ,19.3
Eritrea                                            ,19.3
Kenya                                              ,19.3
Sierra Leone                                       ,19
Yemen                                              ,18.9
Rwanda                                             ,18.8
Guinea                                             ,18.8
Timor-Leste                                        ,18.6
Gabon                                              ,18.6
Senegal                                            ,18.5
Cameroon                                           ,18.4
Afghanistan                                        ,18.4
Gaza Strip                                         ,18.4
Nigeria                                            ,18.2
Liberia                                            ,18.1
"Congo, Democratic Republic of the                  ",18.1
Angola                                             ,18
Sao Tome and Principe                              ,17.9
Benin                                              ,17.9
Somalia                                            ,17.8
Ethiopia                                           ,17.7
Tanzania                                           ,17.5
Chad                                               ,17.4
Burkina Faso                                       ,17.1
South Sudan                                        ,17
Burundi                                            ,17
Mozambique                                         ,17
Zambia                                             ,16.7
Malawi                                             ,16.4
Mali                                               ,16.1
Uganda                                             ,15.6
Niger                                              ,15.2
